track_number,track_name,system,audio_type,public_url,expected_content_type
4,The So So Glos - Emergency,Fadr,instrumental,https://neuralsound.github.io/ai-vocal-remover-benchmark-2026/assets/benchmark-audio/04-the-so-so-glos-emergency/fadr-instrumental-preview.mp3,audio/mpeg
4,The So So Glos - Emergency,Moises,vocals,https://neuralsound.github.io/ai-vocal-remover-benchmark-2026/assets/benchmark-audio/04-the-so-so-glos-emergency/moises-vocals-preview.mp3,audio/mpeg
4,The So So Glos - Emergency,Moises,instrumental,https://neuralsound.github.io/ai-vocal-remover-benchmark-2026/assets/benchmark-audio/04-the-so-so-glos-emergency/moises-instrumental-preview.mp3,audio/mpeg
4,The So So Glos - Emergency,NeuralSound,vocals,https://neuralsound.github.io/ai-vocal-remover-benchmark-2026/assets/benchmark-audio/04-the-so-so-glos-emergency/neuralsound-vocals-preview.mp3,audio/mpeg
4,The So So Glos - Emergency,NeuralSound,instrumental,https://neuralsound.github.io/ai-vocal-remover-benchmark-2026/assets/benchmark-audio/04-the-so-so-glos-emergency/neuralsound-instrumental-preview.mp3,audio/mpeg
5,The Wrong'Uns - Rothko,Reference,input,https://neuralsound.github.io/ai-vocal-remover-benchmark-2026/assets/benchmark-audio/05-the-wronguns-rothko/input-preview.mp3,audio/mpeg
5,The Wrong'Uns - Rothko,Fadr,vocals,https://neuralsound.github.io/ai-vocal-remover-benchmark-2026/assets/benchmark-audio/05-the-wronguns-rothko/fadr-vocals-preview.mp3,audio/mpeg
5,The Wrong'Uns - Rothko,Fadr,instrumental,https://neuralsound.github.io/ai-vocal-remover-benchmark-2026/assets/benchmark-audio/05-the-wronguns-rothko/fadr-instrumental-preview.mp3,audio/mpeg
5,The Wrong'Uns - Rothko,Moises,vocals,https://neuralsound.github.io/ai-vocal-remover-benchmark-2026/assets/benchmark-audio/05-the-wronguns-rothko/moises-vocals-preview.mp3,audio/mpeg
5,The Wrong'Uns - Rothko,Moises,instrumental,https://neuralsound.github.io/ai-vocal-remover-benchmark-2026/assets/benchmark-audio/05-the-wronguns-rothko/moises-instrumental-preview.mp3,audio/mpeg
5,The Wrong'Uns - Rothko,NeuralSound,vocals,https://neuralsound.github.io/ai-vocal-remover-benchmark-2026/assets/benchmark-audio/05-the-wronguns-rothko/neuralsound-vocals-preview.mp3,audio/mpeg
5,The Wrong'Uns - Rothko,NeuralSound,instrumental,https://neuralsound.github.io/ai-vocal-remover-benchmark-2026/assets/benchmark-audio/05-the-wronguns-rothko/neuralsound-instrumental-preview.mp3,audio/mpeg
